keyword;search_volume;keyword_difficulty;cpc_eur;competition;competition_level;low_top_of_page_bid;high_top_of_page_bid;search_intent;cluster;words_count;trend_quarterly_pct;trend_yearly_pct;traffic_value_eur_month;opportunity_score;variant_group;is_primary
heilpraktiker rostock;590;;1.27;0.06;LOW;;;informational;Lokale Suche;2;;-19;749.3;2.37;heilpraktiker rostock;1
rostock heilpraktiker;590;;1.27;0.06;LOW;;;navigational;Lokale Suche;2;;-19;749.3;2.37;heilpraktiker rostock;0
heilpraktiker stellenangebot;590;;0.39;0.27;LOW;0.09;0.69;informational;Jobs & Gehalt;2;-19;-46;230.1;1.45;heilpraktiker stellenangebot;1
heilpraktiker stellenangebote;590;;0.39;0.27;LOW;0.09;0.69;informational;Jobs & Gehalt;;-19;-46;230.1;1.45;heilpraktiker stellenangebot;0
stellenangebote heilpraktiker;590;;0.39;0.27;LOW;0.09;0.69;informational;Jobs & Gehalt;2;-19;-46;230.1;1.45;heilpraktiker stellenangebot;0
stellenangebot heilpraktiker;590;;0.39;0.27;LOW;0.09;0.69;informational;Jobs & Gehalt;2;-19;-46;230.1;1.45;heilpraktiker stellenangebot;0
immanuel zentrum für naturheilkunde;590;13;0.0;0.03;LOW;;;navigational;Marken- & Praxisnamen;4;23;-33;0.0;1.34;immanuel zentrum für naturheilkunde;1
naturheilpraxis trippen;590;;0.0;0.01;LOW;;;informational;Marken- & Praxisnamen;2;;-33;0.0;1.04;naturheilpraxis trippen;1
trippen naturheilpraxis;590;;0.0;0.01;LOW;;;informational;Marken- & Praxisnamen;2;;-33;0.0;1.04;naturheilpraxis trippen;0
prüfung für heilpraktiker;590;10;1.92;0.59;MEDIUM;0.41;2.11;informational;Ausbildung & Prüfung;3;-33;-33;1132.8;4.44;prüfung für heilpraktiker;1
prüfung zum heilpraktiker;590;4;1.92;0.59;MEDIUM;0.41;2.11;informational;Ausbildung & Prüfung;3;-33;-33;1132.8;6.1;prüfung zum heilpraktiker;1
stellenangebote für heilpraktiker;590;;0.39;0.27;LOW;0.09;0.69;informational;Jobs & Gehalt;3;-19;-46;230.1;1.45;stellenangebote für heilpraktiker;1
wie wird man heilpraktiker;590;14;2.82;0.72;HIGH;0.62;2.57;informational;Informational / Erklärung;4;-19;-19;1663.8;4.91;wie wird man heilpraktiker;1
zentrum für naturheilkunde zfn gmbh;590;4;9.9;0.07;LOW;1.2;2.37;informational;Marken- & Praxisnamen;5;-18;181;5841.0;22.77;zentrum für naturheilkunde zfn gmbh;1
bonn heilpraktiker;480;2;0.89;0.16;LOW;0.42;2.53;informational;Lokale Suche;2;-46;-46;427.2;4.03;bonn heilpraktiker;1
heilpraktiker bonn;480;2;0.89;0.16;LOW;0.42;2.53;informational;Lokale Suche;2;-46;-46;427.2;4.03;bonn heilpraktiker;0
buch heilpraktiker;480;;0.66;1;HIGH;0.19;1.74;informational;Bücher & Medien;2;-33;-18;316.8;1.55;buch heilpraktiker;1
bücher heilpraktiker;480;;0.66;1;HIGH;0.19;1.74;informational;Bücher & Medien;2;-33;-18;316.8;1.55;buch heilpraktiker;0
heilpraktiker bücher;480;;0.66;1;HIGH;0.19;1.74;informational;Bücher & Medien;2;-33;-18;316.8;1.55;buch heilpraktiker;0
heilpraktiker buch;480;;0.66;1;HIGH;0.19;1.74;informational;Bücher & Medien;2;-33;-18;316.8;1.55;buch heilpraktiker;0
bücher für heilpraktiker;480;;0.66;1;HIGH;0.19;1.74;informational;Bücher & Medien;3;-33;-18;316.8;1.55;bücher für heilpraktiker;1
chemnitz heilpraktiker;480;9;0.88;0.3;LOW;0.38;1.03;informational;Lokale Suche;2;-33;-33;422.4;2.67;chemnitz heilpraktiker;1
heilpraktiker chemnitz;480;9;0.88;0.3;LOW;0.38;1.03;informational;Lokale Suche;2;-33;-33;422.4;2.67;chemnitz heilpraktiker;0
fernstudium heilpraktiker;480;15;16.42;0.79;HIGH;4.36;15.37;informational;Ausbildung & Prüfung;2;;-56;7881.6;19.25;fernstudium heilpraktiker;1
heilpraktiker im fernstudium;480;16;16.42;0.79;HIGH;4.36;15.37;informational;Ausbildung & Prüfung;3;;-56;7881.6;18.56;fernstudium heilpraktiker;0
heilpraktiker fernstudium;480;22;16.42;0.79;HIGH;4.36;15.37;informational;Ausbildung & Prüfung;2;;-56;7881.6;15.28;fernstudium heilpraktiker;0
fernstudium zum heilpraktiker;480;16;16.42;0.79;HIGH;4.36;15.37;informational;Ausbildung & Prüfung;3;;-56;7881.6;18.56;fernstudium heilpraktiker;0
freiburg heilpraktiker;480;22;0.99;0.27;LOW;0.38;1.36;navigational;Lokale Suche;2;-18;-33;475.2;1.75;freiburg heilpraktiker;1
heilpraktiker freiburg;480;33;0.99;0.27;LOW;0.38;1.36;navigational;Lokale Suche;2;-18;-33;475.2;1.32;freiburg heilpraktiker;0
heilbronn heilpraktiker;480;;1.05;0.35;MEDIUM;0.48;1.31;navigational;Lokale Suche;2;-19;-34;504.0;1.91;heilbronn heilpraktiker;1
heilpraktiker heilbronn;480;4;1.05;0.35;MEDIUM;0.48;1.31;navigational;Lokale Suche;2;-19;-34;504.0;3.82;heilbronn heilpraktiker;0
heilpraktiker alexander sellentin;480;;0.0;0.02;LOW;;;informational;Marken- & Praxisnamen;3;23;51;0.0;0.93;heilpraktiker alexander sellentin;1
heilpraktiker bei kinderwunsch;480;;1.39;0.33;LOW;0.57;1.77;informational;Beschwerden & Indikationen;3;;-19;667.2;2.23;heilpraktiker bei kinderwunsch;1
heilpraktiker bochum;480;;0.99;0.28;LOW;0.55;2.73;navigational;Lokale Suche;2;-33;-46;475.2;1.86;heilpraktiker bochum;1
heilpraktiker fernausbildung;480;;16.42;0.79;HIGH;4.36;15.37;informational;Ausbildung & Prüfung;2;;2500;7881.6;16.24;heilpraktiker fernausbildung;1
heilpraktiker für psychotherapie jobs;480;;0.68;0.25;LOW;0.12;1.34;informational;Jobs & Gehalt;;;-34;326.4;1.57;heilpraktiker für psychotherapie jobs;1
heilpraktiker kassel;480;5;1.53;0.21;LOW;0.36;1.98;navigational;Versicherung & Kostenerstattung;2;;-34;734.4;4.44;heilpraktiker kassel;1
kassel heilpraktiker;480;;1.53;0.21;LOW;0.36;1.98;navigational;Versicherung & Kostenerstattung;2;;-34;734.4;2.36;heilpraktiker kassel;0
heilpraktiker magdeburg;480;;1.44;0.08;LOW;0.37;1.55;navigational;Lokale Suche;2;50;85;691.2;2.27;heilpraktiker magdeburg;1
magdeburg heilpraktiker;480;;1.44;0.08;LOW;0.37;1.55;navigational;Lokale Suche;2;50;85;691.2;2.27;heilpraktiker magdeburg;0
heilpraktiker oldenburg;480;3;1.64;0.2;LOW;0.7;1.8;navigational;Lokale Suche;2;-19;-46;787.2;5.25;heilpraktiker oldenburg;1
oldenburg heilpraktiker;480;;1.64;0.2;LOW;0.7;1.8;navigational;Lokale Suche;2;-19;-46;787.2;2.46;heilpraktiker oldenburg;0
heilpraktiker studieren;480;18;4.62;0.74;HIGH;1.54;4.17;informational;Ausbildung & Prüfung;2;-18;-33;2217.6;5.59;heilpraktiker studieren;1
heilpraktiker studium;480;13;4.62;0.74;HIGH;1.54;4.17;informational;Ausbildung & Prüfung;2;-18;-33;2217.6;6.71;heilpraktiker studium;1
heilpraktiker tk;480;;0.62;0.02;LOW;0.28;1.94;informational;Versicherung & Kostenerstattung;2;-33;-56;297.6;1.51;heilpraktiker tk;1
tk heilpraktiker;480;;0.62;0.02;LOW;0.28;1.94;informational;Versicherung & Kostenerstattung;2;-33;-56;297.6;1.51;heilpraktiker tk;0
heilpraktiker türkisch;480;;0.0;0;LOW;;;informational;Informational / Erklärung;2;;;0.0;0.93;heilpraktiker türkisch;1
heilpraktiker auf türkisch;480;;0.0;0;LOW;;;informational;Informational / Erklärung;3;;;0.0;0.93;heilpraktiker türkisch;0
heilpraktiker würzburg;480;23;2.24;0.27;LOW;0.61;2.56;navigational;Lokale Suche;2;-33;-33;1075.2;2.76;heilpraktiker würzburg;1
würzburg heilpraktiker;480;12;2.24;0.27;LOW;0.61;2.56;navigational;Lokale Suche;2;-33;-33;1075.2;4.03;heilpraktiker würzburg;0
naturheilkunde bei tieren.de;480;;3.03;0.04;LOW;;;informational;Tierheilkunde;3;-19;-19;1454.4;3.76;naturheilkunde bei tieren.de;1
naturheilpraxis linek;480;;0.0;0;LOW;;;navigational;Marken- & Praxisnamen;2;50;;0.0;0.93;naturheilpraxis linek;1
naturheilpraxis sabine linek;480;;0.0;0;LOW;;;navigational;Marken- & Praxisnamen;3;50;;0.0;0.93;naturheilpraxis sabine linek;1
niere stärken naturheilkunde;480;;0.77;0.98;HIGH;0.08;1.45;informational;Beschwerden & Indikationen;3;-33;-33;369.6;1.65;niere stärken naturheilkunde;1
nieren stärken naturheilkunde;480;;0.77;0.98;HIGH;0.08;1.45;informational;Beschwerden & Indikationen;3;-33;-33;369.6;1.65;nieren stärken naturheilkunde;1
opn up osteopathie physiotherapie & naturheilkunde in saarbrücken;480;;0.0;0.04;LOW;;;commercial;Beschwerden & Indikationen;8;22;85;0.0;0.93;opn up osteopathie physiotherapie & naturheilkunde in saarbrücken;1
techniker krankenkasse heilpraktiker;480;;0.62;0.02;LOW;0.28;1.94;informational;Versicherung & Kostenerstattung;3;-33;-56;297.6;1.51;techniker krankenkasse heilpraktiker;1
thai-massage ulm naturheilpraxis dr ing klaus g knoechel;480;;0.12;0.04;LOW;;;informational;Methoden & Therapien;8;23;23;57.6;1.04;thai-massage ulm naturheilpraxis dr ing klaus g knoechel;1
augendiagnose heilpraktiker;390;1;1.45;0.06;LOW;0.61;1.78;informational;Methoden & Therapien;2;-18;-18;565.5;5.02;augendiagnose heilpraktiker;1
heilpraktiker mit augendiagnose;390;;1.45;0.06;LOW;0.61;1.78;informational;Methoden & Therapien;3;-18;-18;565.5;2.04;augendiagnose heilpraktiker;0
heilpraktiker augendiagnose;390;1;1.45;0.06;LOW;0.61;1.78;informational;Methoden & Therapien;2;-18;-18;565.5;5.02;augendiagnose heilpraktiker;0
augendiagnostik heilpraktiker;390;9;1.45;0.06;LOW;0.61;1.78;informational;Methoden & Therapien;2;-18;-18;565.5;3.1;augendiagnostik heilpraktiker;1
heilpraktiker mit augendiagnostik;390;9;1.45;0.06;LOW;0.61;1.78;informational;Methoden & Therapien;3;-18;-18;565.5;3.1;augendiagnostik heilpraktiker;0
aurich heilpraktiker;390;;0.76;0.11;LOW;0.39;0.69;informational;Lokale Suche;2;-18;-18;296.4;1.46;aurich heilpraktiker;1
heilpraktiker aurich;390;;0.76;0.11;LOW;0.39;0.69;navigational;Lokale Suche;2;-18;-18;296.4;1.46;aurich heilpraktiker;0
ausbildung heilpraktiker psychotherapie kosten;390;10;2.86;0.78;HIGH;1;2.59;commercial;Ausbildung & Prüfung;4;-19;-19;1115.4;4.67;ausbildung heilpraktiker psychotherapie kosten;1
kosten ausbildung heilpraktiker psychotherapie;390;7;2.86;0.78;HIGH;1;2.59;commercial;Ausbildung & Prüfung;4;-19;-19;1115.4;5.41;ausbildung heilpraktiker psychotherapie kosten;0
heilpraktiker psychotherapie kosten ausbildung;390;7;2.86;0.78;HIGH;1;2.59;commercial;Ausbildung & Prüfung;4;-19;-19;1115.4;5.41;ausbildung heilpraktiker psychotherapie kosten;0
heilpraktiker psychotherapie ausbildung kosten;390;16;2.86;0.78;HIGH;1;2.59;commercial;Ausbildung & Prüfung;4;-19;-19;1115.4;3.67;ausbildung heilpraktiker psychotherapie kosten;0
heilpraktiker ausbildung psychotherapie kosten;390;6;2.86;0.78;HIGH;1;2.59;commercial;Ausbildung & Prüfung;4;-19;-19;1115.4;5.71;ausbildung heilpraktiker psychotherapie kosten;0
bamberg heilpraktiker;390;12;2.16;0.27;LOW;0.59;2.54;navigational;Lokale Suche;2;;-18;842.4;3.5;bamberg heilpraktiker;1
heilpraktiker bamberg;390;7;2.16;0.27;LOW;0.59;2.54;navigational;Lokale Suche;2;;-18;842.4;4.43;bamberg heilpraktiker;0
barmenia heilpraktiker zusatzversicherung;390;;3.03;0.69;HIGH;0.54;10.15;commercial;Versicherung & Kostenerstattung;3;;-34;1181.7;3.35;barmenia heilpraktiker zusatzversicherung;1
barmenia zusatzversicherung heilpraktiker;390;;3.03;0.69;HIGH;0.54;10.15;commercial;Versicherung & Kostenerstattung;3;;-34;1181.7;3.35;barmenia heilpraktiker zusatzversicherung;0
zusatzversicherung heilpraktiker barmenia;390;;3.03;0.69;HIGH;0.54;10.15;commercial;Versicherung & Kostenerstattung;3;;-34;1181.7;3.35;barmenia heilpraktiker zusatzversicherung;0
buch naturheilkunde;390;;0.41;1;HIGH;0.12;1.19;informational;Bücher & Medien;2;-33;;159.9;1.17;buch naturheilkunde;1
bücher naturheilkunde;390;;0.41;1;HIGH;0.12;1.19;informational;Bücher & Medien;2;-33;;159.9;1.17;buch naturheilkunde;0
naturheilkunde buch;390;;0.41;1;HIGH;0.12;1.19;informational;Bücher & Medien;2;-33;;159.9;1.17;buch naturheilkunde;0
buch über naturheilkunde;390;;0.41;1;HIGH;0.12;1.19;informational;Bücher & Medien;3;-33;;159.9;1.17;buch über naturheilkunde;1
bücher über naturheilkunde;390;;0.41;1;HIGH;0.12;1.19;informational;Bücher & Medien;3;-33;;159.9;1.17;buch über naturheilkunde;0
darmstadt heilpraktiker;390;12;0.69;0.13;LOW;0.35;1.22;navigational;Beschwerden & Indikationen;2;;-56;269.1;1.87;darmstadt heilpraktiker;1
heilpraktiker darmstadt;390;11;0.69;0.13;LOW;0.35;1.22;navigational;Beschwerden & Indikationen;2;;-56;269.1;1.96;darmstadt heilpraktiker;0
gebüh heilpraktiker tabelle;390;;0.04;0.05;LOW;0.01;0.08;navigational;Praxisbetrieb & Kosten;3;23;129;15.6;0.86;gebüh heilpraktiker tabelle;1
guter heilpraktiker in der nähe;390;6;1.3;0.38;MEDIUM;0.44;1.38;informational;Lokale Suche;5;-33;-33;507.0;3.4;guter heilpraktiker in der nähe;1
hamm heilpraktiker;390;18;0.39;0.15;LOW;0.34;0.38;navigational;Lokale Suche;2;-34;-34;152.1;1.23;hamm heilpraktiker;1
heilpraktiker hamm;390;;0.39;0.15;LOW;0.34;0.38;navigational;Lokale Suche;2;-34;-34;152.1;1.16;hamm heilpraktiker;0
heilpraktiker akademie deutschland;390;;2.64;0.64;MEDIUM;1.87;3.21;informational;Ausbildung & Prüfung;3;-18;23;1029.6;3.03;heilpraktiker akademie deutschland;1
heilpraktiker dirk bettenworth;390;;0.85;0.06;LOW;0.39;0.59;informational;Marken- & Praxisnamen;3;23;23;331.5;1.54;heilpraktiker dirk bettenworth;1
heilpraktiker für psychotherapie ausbildung kosten;390;6;2.86;0.78;HIGH;1;2.59;commercial;Ausbildung & Prüfung;5;-19;-19;1115.4;5.71;heilpraktiker für psychotherapie ausbildung kosten;1
kosten ausbildung heilpraktiker für psychotherapie;390;6;2.86;0.78;HIGH;1;2.59;commercial;Ausbildung & Prüfung;5;-19;-19;1115.4;5.71;heilpraktiker für psychotherapie ausbildung kosten;0
heilpraktiker koblenz;390;11;1.15;0.22;LOW;0.51;1.21;informational;Lokale Suche;2;;;448.5;2.49;heilpraktiker koblenz;1
koblenz heilpraktiker;390;11;1.15;0.22;LOW;0.51;1.21;navigational;Lokale Suche;2;;;448.5;2.49;heilpraktiker koblenz;0
heilpraktiker landshut;390;;0.96;0.37;MEDIUM;0.55;1.38;navigational;Lokale Suche;2;-33;-33;374.4;1.63;heilpraktiker landshut;1
landshut heilpraktiker;390;3;0.96;0.37;MEDIUM;0.55;1.38;navigational;Lokale Suche;2;-33;-33;374.4;3.48;heilpraktiker landshut;0
heilpraktiker mainz;390;17;1.02;0.2;LOW;0.63;2.13;navigational;Lokale Suche;2;-33;-46;397.8;1.85;heilpraktiker mainz;1
mainz heilpraktiker;390;16;1.02;0.2;LOW;0.63;2.13;navigational;Lokale Suche;2;-33;-46;397.8;1.92;heilpraktiker mainz;0
heilpraktiker near me;390;7;0.95;0.41;MEDIUM;0.56;2.77;navigational;Beruf, Verbände & Sonstiges;3;-46;23;370.5;2.73;heilpraktiker near me;1
heilpraktiker paderborn;390;;1.94;0.35;MEDIUM;0.6;1.62;informational;Lokale Suche;2;-18;-33;756.6;2.45;heilpraktiker paderborn;1
heilpraktiker psychotherapie stellenangebote;390;;0.47;0.29;LOW;0.08;0.87;informational;Jobs & Gehalt;;;-46;183.3;1.22;heilpraktiker psychotherapie stellenangebote;1
stellenangebote heilpraktiker psychotherapie;390;;0.47;0.29;LOW;0.08;0.87;informational;Jobs & Gehalt;3;;-46;183.3;1.22;heilpraktiker psychotherapie stellenangebote;0
heilpraktiker siegen;390;9;0.94;0.12;LOW;0.35;2.24;informational;Lokale Suche;2;-19;-46;366.6;2.46;heilpraktiker siegen;1
siegen heilpraktiker;390;9;0.94;0.12;LOW;0.35;2.24;informational;Lokale Suche;2;-19;-46;366.6;2.46;heilpraktiker siegen;0
heilpraktiker trier;390;;1.04;0.15;LOW;0.38;0.74;navigational;Lokale Suche;2;;-33;405.6;1.7;heilpraktiker trier;1
heilpraktiker ulm;390;23;1.46;0.3;LOW;0.38;2.48;navigational;Lokale Suche;2;-33;-18;569.4;1.87;heilpraktiker ulm;1
kliniken essen mitte naturheilkunde erfahrungen;390;;0.0;0;LOW;;;commercial;Ärzte, Kliniken & Schulmedizin;5;-33;-33;0.0;0.83;kliniken essen mitte naturheilkunde erfahrungen;1
kliniken essen-mitte naturheilkunde erfahrungen;390;;0.0;0;LOW;;;informational;Ärzte, Kliniken & Schulmedizin;4;-33;-33;0.0;0.83;kliniken essen mitte naturheilkunde erfahrungen;0
lübecker heilpraktiker;390;25;2.17;0.29;LOW;0.97;5.31;navigational;Lokale Suche;2;-19;-33;846.3;2.28;lübecker heilpraktiker;1
ralf blume heilpraktiker;390;;0.0;0.01;LOW;;;informational;Marken- & Praxisnamen;3;-19;;0.0;0.83;ralf blume heilpraktiker;1
sozialstiftung bamberg klinik für integrative medizin und naturheilkunde;390;;0.0;0.03;LOW;;;commercial;Ärzte, Kliniken & Schulmedizin;8;;85;0.0;0.83;sozialstiftung bamberg klinik für integrative medizin und naturheilkunde;1
stellenangebote für heilpraktiker psychotherapie;390;;0.47;0.29;LOW;0.08;0.87;commercial;Jobs & Gehalt;4;;-46;183.3;1.22;stellenangebote für heilpraktiker psychotherapie;1
versicherung für heilpraktiker;390;7;5.41;0.76;HIGH;1.65;5.16;commercial;Versicherung & Kostenerstattung;3;-33;-70;2109.9;8.98;versicherung für heilpraktiker;1
versicherungen für heilpraktiker;390;40;5.41;0.76;HIGH;1.65;5.16;commercial;Versicherung & Kostenerstattung;3;-33;-70;2109.9;3.28;versicherung für heilpraktiker;0
versicherung heilpraktiker;390;12;5.41;0.76;HIGH;1.65;5.16;commercial;Versicherung & Kostenerstattung;2;-33;-70;2109.9;7.11;versicherung heilpraktiker;1
heilpraktiker versicherungen;390;22;5.41;0.76;HIGH;1.65;5.16;commercial;Versicherung & Kostenerstattung;2;-33;-70;2109.9;5.02;versicherung heilpraktiker;0
versicherungen heilpraktiker;390;18;5.41;0.76;HIGH;1.65;5.16;commercial;Versicherung & Kostenerstattung;2;-33;-70;2109.9;5.69;versicherung heilpraktiker;0
zentrum für naturheilkunde;390;8;0.52;0.26;LOW;0.42;1.66;informational;Marken- & Praxisnamen;3;-18;;202.8;2.02;zentrum für naturheilkunde;1
akademie für naturheilkunde;320;21;4.19;0.4;MEDIUM;1.07;3.24;informational;Ausbildung & Prüfung;3;;-19;1340.8;3.75;akademie für naturheilkunde;1
baden baden heilpraktiker;320;13;2.81;0.17;LOW;0.56;3.68;navigational;Lokale Suche;3;-56;-35;899.2;3.64;baden baden heilpraktiker;1
heilpraktiker baden-baden;320;13;2.81;0.17;LOW;0.56;3.68;navigational;Lokale Suche;2;-56;-35;899.2;3.64;baden baden heilpraktiker;0
heilpraktiker baden baden;320;13;2.81;0.17;LOW;0.56;3.68;navigational;Lokale Suche;3;-56;-35;899.2;3.64;baden baden heilpraktiker;0
baden-baden heilpraktiker;320;15;2.81;0.17;LOW;0.56;3.68;navigational;Lokale Suche;2;-56;-35;899.2;3.37;baden baden heilpraktiker;0
deggendorf heilpraktiker;320;4;0.78;0.08;LOW;;;navigational;Lokale Suche;2;-35;-47;249.6;2.66;deggendorf heilpraktiker;1
heilpraktiker deggendorf;320;;0.78;0.08;LOW;;;navigational;Lokale Suche;2;-35;-47;249.6;1.33;deggendorf heilpraktiker;0
erlangen heilpraktiker;320;8;0.82;0.21;LOW;0.35;0.8;informational;Lokale Suche;2;-19;;262.4;2.17;erlangen heilpraktiker;1
heilpraktiker erlangen;320;8;0.82;0.21;LOW;0.35;0.8;informational;Lokale Suche;2;-19;;262.4;2.17;erlangen heilpraktiker;0
gütersloh heilpraktiker;320;;0.64;0.05;LOW;;;informational;Lokale Suche;2;-35;-35;204.8;1.22;gütersloh heilpraktiker;1
heilpraktiker gütersloh;320;;0.64;0.05;LOW;;;navigational;Lokale Suche;2;-35;-35;204.8;1.22;gütersloh heilpraktiker;0
hautprobleme heilpraktiker;320;;1.09;0.34;MEDIUM;0.57;2.35;informational;Beschwerden & Indikationen;2;-33;-19;348.8;1.56;hautprobleme heilpraktiker;1
heilpraktiker bei hautproblemen;320;;1.09;0.34;MEDIUM;0.57;2.35;informational;Beschwerden & Indikationen;3;-33;-19;348.8;1.56;hautprobleme heilpraktiker;0
heilpraktiker hautprobleme;320;;1.09;0.34;MEDIUM;0.57;2.35;informational;Beschwerden & Indikationen;2;-33;-19;348.8;1.56;hautprobleme heilpraktiker;0
heilpraktiker ausbildung voraussetzung;320;9;2.57;0.71;HIGH;0.64;1.91;informational;Ausbildung & Prüfung;3;-19;-34;822.4;4.06;heilpraktiker ausbildung voraussetzung;1
ausbildung heilpraktiker voraussetzungen;320;8;2.57;0.71;HIGH;0.64;1.91;informational;Ausbildung & Prüfung;3;-19;-34;822.4;4.26;heilpraktiker ausbildung voraussetzung;0
ausbildung zum heilpraktiker voraussetzungen;320;15;2.57;0.71;HIGH;0.64;1.91;informational;Ausbildung & Prüfung;4;-19;-34;822.4;3.16;heilpraktiker ausbildung voraussetzung;0
heilpraktiker-ausbildung voraussetzungen;320;8;2.57;0.71;HIGH;0.64;1.91;informational;Ausbildung & Prüfung;2;-19;-34;822.4;4.26;heilpraktiker ausbildung voraussetzung;0
voraussetzung heilpraktiker ausbildung;320;8;2.57;0.71;HIGH;0.64;1.91;informational;Ausbildung & Prüfung;3;-19;-34;822.4;4.26;heilpraktiker ausbildung voraussetzung;0
heilpraktiker ausbildung voraussetzungen;320;8;2.57;0.71;HIGH;0.64;1.91;informational;Ausbildung & Prüfung;3;-19;-34;822.4;4.26;heilpraktiker ausbildung voraussetzung;0
heilpraktiker für hautprobleme;320;;1.09;0.34;MEDIUM;0.57;2.35;informational;Beschwerden & Indikationen;3;-33;-19;348.8;1.56;heilpraktiker für hautprobleme;1
heilpraktiker für schilddrüse;320;;1.08;0.24;LOW;0.39;1.29;commercial;Beschwerden & Indikationen;3;;-46;345.6;1.55;heilpraktiker für schilddrüse;1
heilpraktiker hagen;320;21;0.67;0.24;LOW;0.37;0.8;navigational;Lokale Suche;2;-33;-64;214.4;1.21;heilpraktiker hagen;1
heilpraktiker kempten;320;11;1.73;0.22;LOW;0.57;2.4;navigational;Lokale Suche;2;-19;-34;553.6;2.83;heilpraktiker kempten;1
kempten heilpraktiker;320;9;1.73;0.22;LOW;0.57;2.4;navigational;Lokale Suche;2;-19;-34;553.6;3.1;heilpraktiker kempten;0
heilpraktiker köln nippes;320;;3.31;0.04;LOW;;;navigational;Lokale Suche;3;-47;-56;1059.2;3.21;heilpraktiker köln nippes;1
heilpraktiker marburg;320;15;0.62;0.07;LOW;0.35;1.51;navigational;Lokale Suche;2;-19;-19;198.4;1.43;heilpraktiker marburg;1
marburg heilpraktiker;320;13;0.62;0.07;LOW;0.35;1.51;navigational;Lokale Suche;2;-19;-19;198.4;1.55;heilpraktiker marburg;0
heilpraktiker massage;320;;1.38;0.19;LOW;0.61;1.58;commercial;Methoden & Therapien;2;;-19;441.6;1.78;heilpraktiker massage;1
heilpraktiker massagen;320;;1.38;0.19;LOW;0.61;1.58;commercial;Methoden & Therapien;2;;-19;441.6;1.78;heilpraktiker massage;0
massage heilpraktiker;320;15;1.38;0.19;LOW;0.61;1.58;commercial;Methoden & Therapien;2;;-19;441.6;2.1;heilpraktiker massage;0
heilpraktiker offenburg;320;2;0.53;0.18;LOW;0.4;2.55;navigational;Lokale Suche;2;;-46;169.6;2.61;heilpraktiker offenburg;1
offenburg heilpraktiker;320;;0.53;0.18;LOW;0.4;2.55;navigational;Lokale Suche;2;;-46;169.6;1.14;heilpraktiker offenburg;0
heilpraktiker paracelsus;320;34;0.78;0.59;MEDIUM;0.49;2.77;informational;Ausbildung & Prüfung;2;;-34;249.6;0.92;heilpraktiker paracelsus;1
paracelsus heilpraktiker;320;23;0.78;0.59;MEDIUM;0.49;2.77;informational;Ausbildung & Prüfung;2;;-34;249.6;1.21;heilpraktiker paracelsus;0
heilpraktiker pforzheim;320;18;1.03;0.23;LOW;0.37;2.36;navigational;Lokale Suche;2;-19;-33;329.6;1.62;heilpraktiker pforzheim;1
pforzheim heilpraktiker;320;19;1.03;0.23;LOW;0.37;2.36;navigational;Lokale Suche;2;-19;-33;329.6;1.56;heilpraktiker pforzheim;0
heilpraktiker praxen;320;7;1.11;0.08;LOW;0.66;1.62;informational;Marken- & Praxisnamen;2;23;-18;355.2;2.65;heilpraktiker praxen;1
heilpraktiker prüfungsfragen psychotherapie;320;;1.04;1;HIGH;0.33;1.6;informational;Ausbildung & Prüfung;3;-19;-19;332.8;1.52;heilpraktiker prüfungsfragen psychotherapie;1
prüfungsfragen heilpraktiker psychotherapie;320;;1.04;1;HIGH;0.33;1.6;informational;Ausbildung & Prüfung;3;-19;-19;332.8;1.52;heilpraktiker prüfungsfragen psychotherapie;0
heilpraktiker psychotherapie prüfungsfragen;320;;1.04;1;HIGH;0.33;1.6;informational;Ausbildung & Prüfung;3;-19;-19;332.8;1.52;heilpraktiker prüfungsfragen psychotherapie;0
heilpraktiker psychotherapie lehrbuch;320;;0.64;0.99;HIGH;0.33;1.87;informational;Ausbildung & Prüfung;3;-19;;204.8;1.22;heilpraktiker psychotherapie lehrbuch;1
heilpraktiker rosenheim;320;;1.96;0.29;LOW;0.57;1.71;navigational;Lokale Suche;2;-19;-33;627.2;2.21;heilpraktiker rosenheim;1
rosenheim heilpraktiker;320;4;1.96;0.29;LOW;0.57;1.71;navigational;Lokale Suche;2;-19;-33;627.2;4.42;heilpraktiker rosenheim;0
heilpraktiker saarlouis;320;2;0.28;0.09;LOW;0.35;1.42;navigational;Lokale Suche;2;-35;-47;89.6;2.18;heilpraktiker saarlouis;1
heilpraktiker traditionelle chinesische medizin;320;10;1.15;0.18;LOW;0.52;1.04;informational;Marken- & Praxisnamen;4;-19;;368.0;2.33;heilpraktiker traditionelle chinesische medizin;1
traditionelle chinesische medizin heilpraktiker;320;2;1.15;0.18;LOW;0.52;1.04;informational;Marken- & Praxisnamen;4;-19;;368.0;3.67;heilpraktiker traditionelle chinesische medizin;0
heilpraktiker voraussetzung;320;5;2.12;0.61;MEDIUM;0.59;1.74;informational;Ausbildung & Prüfung;2;;-33;678.4;4.38;heilpraktiker voraussetzung;1
voraussetzungen heilpraktiker;320;5;2.12;0.61;MEDIUM;0.59;1.74;informational;Ausbildung & Prüfung;2;;-33;678.4;4.38;heilpraktiker voraussetzung;0
heilpraktiker voraussetzungen;320;5;2.12;0.61;MEDIUM;0.59;1.74;informational;Ausbildung & Prüfung;2;;-33;678.4;4.38;heilpraktiker voraussetzung;0
